Date,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA
2024-01-01,,,,,,,21741.900390625,
2024-01-02,2962.27587890625,,9401.349609375,71892.4765625,14765.9404296875,1395.1099853515625,21665.80078125,16841.619140625
2024-01-03,2967.2470703125,,9330.8603515625,71356.6015625,14592.2099609375,1380.97998046875,21517.349609375,16718.650390625
2024-01-04,2954.34912109375,1969.0,9215.25,71847.5703125,14510.2998046875,1389.780029296875,21658.599609375,16715.7109375
2024-01-05,2929.179931640625,1980.0,9116.4404296875,72026.1484375,14524.0703125,1387.6500244140625,21710.80078125,16758.240234375
2024-01-08,2887.5380859375,,8947.7197265625,71355.21875,14843.76953125,1388.9100341796875,21513.0,16885.369140625
2024-01-09,2893.25,1997.0,8971.7197265625,71386.2109375,14857.7099609375,1386.25,21544.849609375,16773.0703125
2024-01-10,2877.701904296875,2026.0,8922.7900390625,71657.7109375,14969.650390625,1382.5400390625,21618.69921875,16818.880859375
2024-01-11,2886.64990234375,2059.0,9053.8798828125,71721.1796875,14970.1904296875,1377.3299560546875,21647.19921875,16781.119140625
2024-01-12,2881.97705078125,2072.0,8996.259765625,72568.453125,14972.759765625,1390.449951171875,21894.55078125,16799.5390625
2024-01-15,2886.2900390625,2080.0,8963.9296875,73327.9375,,1384.3399658203125,22097.44921875,
2024-01-16,2893.989013671875,2080.0,8992.0703125,73128.7734375,14944.349609375,1381.8299560546875,22032.30078125,16639.380859375
2024-01-17,2833.614990234375,2071.0,8759.759765625,71500.7578125,14855.6201171875,1367.9599609375,21571.94921875,16522.830078125
2024-01-18,2845.780029296875,2068.0,8847.0,71186.859375,15055.650390625,1381.31005859375,21462.25,16616.2890625
2024-01-19,2832.279052734375,2083.0,8787.01953125,71683.2265625,15310.9697265625,1379.9000244140625,21622.400390625,16729.55078125
2024-01-22,2756.340087890625,2113.0,8479.5498046875,,15360.2900390625,1388.0400390625,,16779.490234375
2024-01-23,2770.97607421875,2110.0,8596.2802734375,70370.546875,15425.9404296875,1385.8900146484375,21238.80078125,16800.859375
2024-01-24,2820.77197265625,2101.0,8682.1904296875,71060.3125,15481.919921875,1406.93994140625,21453.94921875,16769.25
