,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,ARIMA_000001.SS,RF_000001.SS,ARIMA_1592.T,RF_1592.T,ARIMA_399001.SZ,RF_399001.SZ,ARIMA_^BSESN,RF_^BSESN,ARIMA_^IXIC,RF_^IXIC,ARIMA_^N100,RF_^N100,ARIMA_^NSEI,RF_^NSEI,ARIMA_^NYA,RF_^NYA
2024-01-01,2962.27587890625,1969.0,9401.349609375,71892.4765625,14765.9404296875,1395.1099853515625,21741.900390625,16841.619140625,2973.7148255767124,3618.663930664063,1978.5574107112632,1645.45,9518.089933923282,14778.655224609374,72258.53793722599,59418.2772265625,15016.114692366104,15671.949931640624,1395.8764388558336,1373.563934326172,21737.950156178707,17691.24705078125,16854.734856387506,17231.08271484375
2024-01-02,2962.27587890625,1969.0,9401.349609375,71892.4765625,14765.9404296875,1395.1099853515625,21665.80078125,16841.619140625,2973.050778971136,3616.338737792969,1979.1714836799815,1659.56,9511.285701904057,14760.8244140625,72288.9426445089,59564.800859375,15019.32089247107,15613.7408203125,1396.2394155171655,1376.897716064453,21747.905518309148,17735.31171875,16857.93161284967,17271.8159375
2024-01-03,2967.2470703125,1969.0,9330.8603515625,71356.6015625,14592.2099609375,1380.97998046875,21517.349609375,16718.650390625,2972.3723115654266,3616.558029785156,1979.78613436584,1673.2,9504.481009912026,14718.742451171876,72320.1276145495,59660.87953125,15022.55453442013,15597.00412109375,1396.6022350113374,1378.6805102539065,21758.076263743988,17780.8552734375,16861.174641853842,17243.43068359375
2024-01-04,2954.34912109375,1969.0,9215.25,71847.5703125,14510.2998046875,1389.780029296875,21658.599609375,16715.7109375,2971.6942180621936,3612.937253417969,1980.400790941988,1682.6,9497.676316881518,14700.336845703125,72351.36279745048,59713.640390625,15025.787693295815,15523.902119140625,1396.9650582725135,1381.2474951171876,21768.260630865,17794.36203125,16864.419253932658,17228.71357421875
2024-01-05,2929.179931640625,1980.0,9116.4404296875,72026.1484375,14524.0703125,1387.6500244140625,21710.80078125,16758.240234375,2971.016114864418,3590.584738769531,1981.0154475781917,1688.84,9490.871623848669,14549.106181640624,72382.60121173898,59811.902265625,15029.020860675302,15180.947255859375,1397.327881443402,1383.1362817382812,21778.445859474952,17834.82939453125,16867.66392017157,17166.05162109375
2024-01-08,2887.5380859375,1980.0,8947.7197265625,71355.21875,14843.76953125,1388.9100341796875,21513.0,16885.369140625,2970.338011918002,3592.3057153320315,1981.630104215008,1669.57,9484.066930815812,14405.933583984375,72413.83983397948,59846.5722265625,15032.254027905092,15018.14560546875,1397.6907046164542,1353.7479956054688,21788.631142568847,17796.1743359375,16870.908588263403,17153.9753515625
2024-01-09,2893.25,1997.0,8971.7197265625,71386.2109375,14857.7099609375,1386.25,21544.849609375,16773.0703125,2969.659908965069,3588.610202636719,1982.24476085183,1667.63,9477.262237782956,14360.484521484375,72445.07846960251,60326.880390625,15035.487195137515,15052.542099609374,1398.0535277894546,1351.4945043945313,21798.81642910852,17974.63431640625,16874.153256418627,17182.57021484375
2024-01-10,2877.701904296875,2026.0,8922.7900390625,71657.7109375,14969.650390625,1382.5400390625,21618.69921875,16818.880859375,2968.981806012305,3589.626474609375,1982.8594174886523,1671.8,9470.4575447501,14370.94529296875,72476.31710608673,60542.27359375,15038.720362369892,15054.0542578125,1398.416350962456,1360.3117895507812,21809.00171586612,18040.29818359375,16877.397924576024,17189.5122265625
2024-01-11,2886.64990234375,2059.0,9053.8798828125,71721.1796875,14970.1904296875,1377.3299560546875,21647.19921875,16781.119140625,2968.303703059537,3577.140991210937,1983.4740741254752,1661.04,9463.652851717245,14268.59009765625,72507.55574262638,60617.6440234375,15041.953529602271,15027.1217578125,1398.779174135458,1365.868006591797,21819.1870026375,18070.07373046875,16880.642592733493,17240.18337890625
2024-01-12,2881.97705078125,2072.0,8996.259765625,72568.453125,14972.759765625,1390.449951171875,21894.55078125,16799.5390625,2967.6256001067686,3574.836494140625,1984.0887307622977,1658.94,9456.848158684386,14245.72501953125,72538.7943791696,60928.19984375,15045.186696834651,15024.69630859375,1399.1419973084594,1364.6978002929689,21829.372289409755,18150.00453125,16883.887260890962,17262.02572265625
