Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,47868.98046875,,,14018.5,,,,,47868.98046875,,,14018.5,,,,,47984.359375,,,14049.849609375,,,,,47771.1484375,,,13991.349609375,,,,,47785.28125,,,13996.099609375,,,,,82700.0,,,358100.0,
2021-01-04,3502.9580078125,1356.211181640625,14827.4697265625,48176.80078125,12698.4501953125,1112.52001953125,14132.900390625,14376.7001953125,3502.9580078125,1500.0,14827.4697265625,48176.80078125,12698.4501953125,1112.52001953125,14132.900390625,14376.7001953125,3511.655029296875,1516.0,14859.08984375,48220.46875,12958.7197265625,1124.489990234375,14147.9501953125,14605.75,3457.2060546875,1486.0,14486.25,47594.46875,12543.240234375,1109.199951171875,13953.75,14258.25,3474.678955078125,1516.0,14516.1201171875,48109.171875,12958.51953125,1116.8800048828125,14104.349609375,14601.4501953125,380800.0,23033.0,2007300.0,13900.0,6636170000.0,212061800.0,495000.0,5015000000.0
2021-01-05,3528.677001953125,1356.211181640625,15147.5703125,48437.78125,12818.9599609375,1109.56005859375,14199.5,14536.5302734375,3528.677001953125,1500.0,15147.5703125,48437.78125,12818.9599609375,1109.56005859375,14199.5,14536.5302734375,3528.677001953125,1503.0,15149.099609375,48486.23828125,12828.26953125,1116.1500244140625,14215.599609375,14579.2802734375,3484.715087890625,1492.0,14716.7900390625,47903.37890625,12665.650390625,1103.510009765625,14048.150390625,14378.7001953125,3492.19091796875,1498.0,14760.25,48037.62890625,12665.650390625,1108.25,14075.150390625,14378.7001953125,408000.0,12218.0,2173300.0,12200.0,6971860000.0,218986100.0,492500.0,4591020000.0
2021-01-06,3550.876953125,1358.01953125,15187.6103515625,48174.05859375,12740.7900390625,1120.22998046875,14146.25,14788.83984375,3550.876953125,1502.0,15187.6103515625,48174.05859375,12740.7900390625,1120.22998046875,14146.25,14788.83984375,3556.802001953125,1507.0,15295.0703125,48616.66015625,12909.6298828125,1123.5999755859375,14244.150390625,14898.490234375,3513.1259765625,1497.0,14987.3701171875,47864.140625,12649.990234375,1106.9300537109375,14039.900390625,14590.41015625,3530.906982421875,1500.0,15221.4404296875,48616.66015625,12666.150390625,1115.8499755859375,14240.9501953125,14594.48046875,370200.0,8480.0,1891600.0,22500.0,7689880000.0,301605700.0,632300.0,6064110000.0
2021-01-07,3576.205078125,1369.773193359375,15356.400390625,48093.3203125,13067.48046875,1122.1300048828125,14137.349609375,14928.75,3576.205078125,1515.0,15356.400390625,48093.3203125,13067.48046875,1122.1300048828125,14137.349609375,14928.75,3576.205078125,1525.0,15356.400390625,48558.33984375,13090.91015625,1125.8599853515625,14256.25,14948.2998046875,3526.616943359375,1511.0,15101.669921875,48037.87109375,12867.33984375,1117.260009765625,14123.099609375,14849.349609375,3552.908935546875,1512.0,15178.349609375,48524.359375,12867.33984375,1123.550048828125,14253.75,14866.919921875,405300.0,4421.0,2066500.0,18400.0,6841480000.0,238762200.0,559200.0,5099160000.0
2021-01-08,3570.110107421875,1402.5821533203125,15319.2900390625,48782.51171875,13201.98046875,1132.0999755859375,14347.25,14966.830078125,3570.110107421875,1539.0,15319.2900390625,48782.51171875,13201.98046875,1132.0999755859375,14347.25,14966.830078125,3588.06005859375,1540.0,15453.1796875,48854.33984375,13208.08984375,1133.0,14367.2998046875,15006.16015625,3544.889892578125,1520.0,15162.7099609375,48365.578125,13036.5498046875,1126.3800048828125,14221.650390625,14818.7998046875,3577.68994140625,1520.0,15402.740234375,48464.91015625,13160.2197265625,1130.800048828125,14258.400390625,14990.51953125,345600.0,21927.0,2017900.0,22200.0,7289390000.0,224431500.0,613500.0,4773040000.0
2021-01-11,3531.498046875,,15115.3798828125,49269.3203125,13036.4296875,1124.2900390625,14484.75,14937.9599609375,3531.498046875,,15115.3798828125,49269.3203125,13036.4296875,1124.2900390625,14484.75,14937.9599609375,3597.701904296875,,15420.6796875,49303.7890625,13138.26953125,1132.8599853515625,14498.2001953125,14975.26953125,3516.986083984375,,15011.58984375,48956.37890625,12999.509765625,1119.25,14383.099609375,14817.740234375,3571.321044921875,,15353.080078125,49252.30859375,13048.7802734375,1129.5400390625,14474.0498046875,14828.0302734375,362500.0,,2163300.0,21200.0,6960470000.0,203271600.0,672900.0,4465430000.0
2021-01-12,3608.340087890625,1404.4049072265625,15460.0302734375,49517.109375,13072.4296875,1122.56005859375,14563.4501953125,15010.2900390625,3608.340087890625,1541.0,15460.0302734375,49517.109375,13072.4296875,1122.56005859375,14563.4501953125,15010.2900390625,3608.340087890625,1546.0,15460.0302734375,49569.140625,13105.0400390625,1127.52001953125,14590.650390625,15024.51953125,3517.469970703125,1536.0,15020.259765625,49079.5703125,12963.919921875,1119.510009765625,14432.849609375,14923.8203125,3518.010009765625,1536.0,15053.8701171875,49228.26171875,13062.0595703125,1127.31005859375,14473.7998046875,14970.7802734375,323400.0,5002.0,2029700.0,12700.0,7264070000.0,202431700.0,929600.0,4994950000.0
2021-01-13,3598.652099609375,1409.8731689453125,15365.4296875,49492.3203125,13128.9501953125,1123.6099853515625,14564.849609375,14983.6103515625,3598.652099609375,1547.0,15365.4296875,49492.3203125,13128.9501953125,1123.6099853515625,14564.849609375,14983.6103515625,3622.347900390625,1551.0,15597.9697265625,49795.19140625,13171.150390625,1126.0799560546875,14653.349609375,15045.5400390625,3575.594970703125,1537.0,15240.900390625,49073.8515625,13051.0595703125,1119.5400390625,14435.7001953125,14931.1201171875,3613.281005859375,1537.0,15491.0703125,49763.9296875,13088.009765625,1122.1099853515625,14639.7998046875,15017.01953125,388100.0,11588.0,2193700.0,27200.0,7104810000.0,237267700.0,874000.0,4602510000.0
2021-01-14,3565.905029296875,1417.1640625,15070.1298828125,49584.16015625,13112.6396484375,1133.199951171875,14595.599609375,15044.3798828125,3565.905029296875,1555.0,15070.1298828125,49584.16015625,13112.6396484375,1133.199951171875,14595.599609375,15044.3798828125,3599.05810546875,1568.0,15354.1201171875,49663.578125,13220.16015625,1134.280029296875,14617.7998046875,15129.1201171875,3559.60009765625,1544.0,15033.4697265625,49182.37109375,13098.41015625,1127.5,14471.5,15037.2900390625,3584.931884765625,1544.0,15283.5595703125,49432.828125,13174.75,1128.550048828125,14550.0498046875,15063.5595703125,347700.0,4828.0,2011400.0,24500.0,6734100000.0,230214200.0,620200.0,5198480000.0
2021-01-15,3566.3779296875,1404.4049072265625,15031.7001953125,49034.671875,12998.5,1121.800048828125,14433.7001953125,14894.169921875,3566.3779296875,1541.0,15031.7001953125,49034.671875,12998.5,1121.800048828125,14433.7001953125,14894.169921875,3589.26611328125,1563.0,15120.26953125,49656.7109375,13139.830078125,1129.719970703125,14617.4501953125,14952.33984375,3533.7880859375,1541.0,14772.0595703125,48795.7890625,12949.759765625,1114.010009765625,14357.849609375,14791.650390625,3566.284912109375,1563.0,15030.5400390625,49656.7109375,13099.900390625,1128.1199951171875,14594.349609375,14949.33984375,324600.0,22134.0,1787000.0,14700.0,6458360000.0,285921300.0,789600.0,5369820000.0
2021-01-18,3596.219970703125,1398.025390625,15269.26953125,48564.26953125,,1122.5400390625,14281.2998046875,,3596.219970703125,1534.0,15269.26953125,48564.26953125,,1122.5400390625,14281.2998046875,,3608.77001953125,1540.0,15309.7900390625,49122.23046875,,1123.5,14459.150390625,,3544.260009765625,1531.0,14898.8798828125,48403.96875,,1117.989990234375,14222.7998046875,,3554.800048828125,1536.0,14980.5,49061.21875,,1117.989990234375,14453.2998046875,,301700.0,1145.0,1757500.0,16600.0,,149180600.0,762000.0,
2021-01-19,3566.3798828125,1405.316162109375,15003.990234375,49398.2890625,13197.1796875,1122.1800537109375,14521.150390625,14987.33984375,3566.3798828125,1542.0,15003.990234375,49398.2890625,13197.1796875,1122.1800537109375,14521.150390625,14987.33984375,3603.14990234375,1546.0,15314.0498046875,49499.859375,13206.8603515625,1128.760009765625,14546.0498046875,15037.490234375,3553.02001953125,1541.0,14954.349609375,48805.5390625,13078.7001953125,1120.280029296875,14350.849609375,14958.7197265625,3596.360107421875,1542.0,15278.5302734375,48900.30859375,13132.73046875,1128.449951171875,14371.650390625,15026.6396484375,323400.0,6090.0,1810700.0,11000.0,6297860000.0,193455600.0,546100.0,5014440000.0
